Sl. Number,Exhibitors Name,Buisness Domain,Service/Product,Networth,CEO,CTO,HQ,Customers
70,Rohde & Schwarz,Test & Measurement,"RF testing, broadcasting, cybersecurity",$2B,Christian Leicher,-,"Munich, Germany","Telecom, aerospace, defense"
71,Samsung Electronics,Consumer Electronics & Semiconductors,"Smartphones, TVs, memory, displays",$317B,Jong-Hee Han,-,"Suwon, South Korea","Global consumers, telecom operators"
72,ServiceNow,Enterprise Software,"Workflow automation, ITSM, cloud platform",$140B,Bill McDermott,Pat Casey,"Santa Clara, California, USA","Enterprises, governments"
73,SoftBank Corp.,Telecommunications & Investment,"Mobile, broadband, cloud, AI",$70B,Junichi Miyakawa,-,"Tokyo, Japan","Japanese consumers, startups"
74,Spirent Communications,Network Testing & Assurance,"5G, cloud, cybersecurity testing",$0.8B,Eric Updyke,-,"Crawley, UK","Telecom operators, enterprises"
75,T-Systems,IT Services & Telecom,"Cloud, security, digital transformation",Part of Deutsche Telekom,Adel Al-Saleh,-,"Frankfurt, Germany","European enterprises, governments"
76,Vmware by Broadcom,Cloud Infrastructure & Virtualization,"Virtualization, cloud, networking",$70B (Broadcom),Hock Tan,Raghu Raghuram,"Palo Alto, California, USA","Enterprises, cloud providers"
77,Wind River,Embedded Software & IoT,"RTOS, edge cloud, safety systems",Private (Apollo Global),Kevin Dallas,-,"Alameda, California, USA","Aerospace, automotive, telecom"
78,Xilinx (AMD),Semiconductors,"FPGAs, adaptive computing",$220B (AMD),Lisa Su,-,"San Jose, California, USA","Industrial, telecom, automotive"
79,Zyxel Communications,Networking Equipment,"Routers, switches, Wi-Fi solutions",Private,Gordon Yang,-,"Taipei, Taiwan","SMBs, telecom operators"
