Sl. Number,Exhibitors Name,Business Domain,Service/Product,Networth,CEO,CTO,HQ,Customers
52,Schneider Electric,Energy Management & Automation,"Smart grid, building automation, energy solutions",$110B (Market Cap),Peter Herweck,,"Camarillo, California, USA","GoDaddy, EPAM Systems, SAP, Target, Gigster"
53,Semtec Corporation,"Semiconductors, Wireless Communication","LoRa technology, RF solutions",$1.2B (Acquisition by Pericom),Mohan Maheswaran,,"Camarillo, California, USA","DoD, FEMA, Army Comm Electronics Command"
54,SGS North America Inc.,"Testing, Inspection, Certification","Product testing, compliance, certification",$6.5B (Global SGS Group Revenue),Frankie Ng (SGS Group,,"Rutherford, New Jersey, USA","SGS Canada, Gulf Harbor Shipping LLC"
55,Sinch Americal Inc.,"Cloud Communications, Messaging","SMS, voice, video, email APIs",$1.5B (Revenue),Laurence Miall-d’Août,,"Stockholm, Sweden","Amazon, SAP, T-Mobile, Ericsson, Walgreens, Nestlé, Comcast, Citigroup, NBCUniversal"
56,Singtel,"Telecommunications, ICT","Mobile, broadband, cloud, cybersecurity",$31B (Market Cap),Yuen Kuan Moon,Mark Chong (former),Singapore,"Optus (Australia), Bharti Airtel, AIS, Globe, Telkomsel"
57,Skymirr Inc.,"Wireless Solutions, IoT","IoT connectivity, wireless modules",Private,,,USA,"SB-Solutions, Telecom operators, medical device companies, CCL Group (Africa)"
58,SOLiD,"Telecom Infrastructure, DAS Systems","Distributed Antenna Systems, optical transport",$100M (Estimated Revenue),Duke Park,,"Seongnam, South Korea","Hospitals, transport hubs, Fortune 500 enterprises, event venues"
59,"Splunk, a Cisco Company","Data Analytics, Cybersecurity","SIEM, observability, log management",$28B (Acquisition by Cisco),Gary Steele,Tim Tully (former),"San Francisco, California, USA","5,000+ Cisco enterprise customers, AWS, banks, retailers, government agencies"
60,StayConnect/Skylink Global,"Hospitality Technology, Connectivity","Hotel room connectivity, entertainment systems",~ ₹33.9L,,,USA,"KPMG, Deloitte, Cisco, Canon, TCS (StayConnect), Deutsche Telekom, Visa Cybersource"
61,"Sym Technologies, Inc.","Wireless Solutions, IoT","IoT platforms, wireless integration",$12M,,,USA, Tier-1 mobile service providers (MSPs) and DAS
62,"Syniverse Technologies, LLC","Mobile Communications, Messaging","Messaging, roaming, IoT connectivity",$1B+ (Private),Andrew Davies,,"Tampa, Florida, USA","AT&T, Verizon, Vodafone, Bell Canada, Liberty Latin America, PNC Financial Services, NetSpend, Iridium Satellite"
63,SYNTRONIC,Engineering Design Services,"Product development, embedded systems", $419.4M,Björn Jansson,,"Gävle, Sweden","Vision Circuits Technologies, aerospace firms, and defense organizations,  telecom, automotive, medtech, industrial sectors"
64,Taara,Wireless Optical Communication,Free-space optical links,Part of Alphabet X,,,"Mountain View, California, USA","Bharti Airtel, T-Mobile, Liquid Intelligent Technologies, Teledata ICT"
65,TeckNexus LLC,Telecom Media & Research,"5G insights, publications, consulting",<$5M,Ayla Gupta,,USA,"Telecom operators, hyperscalers, technology vendors"
66,Telgoo5,Telecom Billing & OSS,"Billing, CRM, provisioning systems",$20.1M,,,USA,"i-wireless LLC, Midco Mobile"
67,The Canadian Wireless Telecommunication Association (CWTA),Wireless Industry Association,"Advocacy, standards, industry programs",Non-profit,Robert Ghiz,,"Ottawa, Ontario, Canada","Canadian wireless carriers, Rogers, Bell, TELUS, SaskTel, Freedom Mobile"
68,Tridens,"Billing Software, Monetization","Tridens Monetization, Cloud billing",Private,Aleš Zajc,,"Maribor, Slovenia","Telecom operators, utilities, EV charging providers"
69,Twilio Inc.,"Cloud Communications, APIs","SMS, voice, email, video APIs",$10B+ (Market Cap),Khozema Shipchandler,Eyal Manor,"San Francisco, California, USA","Airbnb, Netflix, Lyft, Hulu, American Red Cross, Intuit, IBM, Domino’s, FOX"
70,uCloudlink America,Mobile Data Solutions,"CloudSIM, mobile hotspots",$100M+ (Parent: UCLOUDLINK GROUP INC),Chaohui Chen,,Hong Kong / USA,"InMotion Entertainment Group (airport retail)
Cello Mobile International, MVNOs, global travelers"
71,Valid,"Identity Solutions, SIM Cards","SIM, eSIM, identity management",$400M+ (Revenue),Carlos Affonso d’Albuquerque,,Brazil,"Financial institutions, government agencies, telecom operators"
72,Verizon Buisness,"Telecommunications, Enterprise Solutions","5G, network, cloud, security",$160B+ (Verizon Market Cap),Sowmyanarayan Sampath,,"Basking Ridge, New Jersey, USA","UPS, Delta, Disney, VA Healthcare"
73,Vibes,Mobile Engagement Platform,"SMS, MMS, mobile wallet marketing",$50M+ (Revenue),Jack Philbin,Brian Garofola,"Chicago, Illinois, USA","Retail brands, financial services, hospitality chains"
74,Vonage,"Cloud Communications, APIs","Messaging, voice, video APIs",$6.2B (Acquired by Ericsson),Rory Read,Savneet Singh,"Holmdel, New Jersey, USA","Enterprises using UCaaS and CPaaS, developers integrating APIs"
75,VyOS Networks,Open Source Networking,VyOS router OS,$7.9M,,,USA,"ISPs, cloud providers, enterprises needing open-source routing"
76,Zenlynx,"Wireless Solutions, IoT","IoT connectivity, modules",,,,USA,"Telecom operators, IoT solution providers, industrial automation firms"
77,"Ziguang Weilian Communication Tehnology Co., Ltd. (Well Link Communication)",Wireless Communication Equipment,"Base stations, antennas, RF modules",₹500Cr.,,,China,"Chinese telecom operators, device manufacturers, IoT integrators"
