Sl. Number,Exhibitors Name,Buisness Domain,Service/Product,Networth,CEO,CTO,HQ,Customers
74,"Hengtong Optic-Electric Co., Ltd",Fiber Optic Communication & Power Transmission,"Optical fiber cables, submarine cables, smart grid systems, EPC services",$8.53B,Jianfeng Zhang,Yan Wu,"Suzhou, Jiangsu, China","Global telecom operators, energy utilities, marine engineering projects"
75,Honeywell Middle East,Industrial Automation & Smart Infrastructure,"Building automation, IoT systems, cybersecurity, energy management solutions",$35B (global),Khaled Hashem,Sheila Jordan,"Dubai, UAE","Oil & gas, aviation, smart cities, government projects"
76,Hongan,Optical Fiber & Communication Cable Manufacturing,"Optical fiber preforms, cables, patch cords, passive optical network devices",$210M,Not listed,Not listed,"Weihai, Shandong, China","Domestic telecom operators, Belt & Road projects, global ISPs"
77,Hsing Chau Industrial Co. Ltd.,Structured Cabling & Network Components,"RJ45 connectors, patch panels, keystone jacks, fiber accessories",$4.7M,Wei Hao (Jerry Su),Maxwell Wang,"Taipei City, Taiwan","OEMs, ICT integrators, data centers"
78,"Hunan GL Technology Co.,Ltd",Fiber Optic Cable Manufacturing,"ADSS, OPGW cables, FTTH solutions, fiber accessories",$80M,Tan Long,Not listed,"Changsha, Hunan, China","State Grid projects, telecom operators, global infrastructure firms"
79,IDCITI / uGPS,GPS & Smart City Positioning Solutions,"Underground GPS (uGPS), indoor positioning systems, IoT navigation",$3M,Jihoon Ryoo,Not listed,"Incheon, South Korea","Smart city projects, transportation authorities, autonomous vehicle developers"
80,Identiko Integrated Solutions,IT Integration & Identity Management,"Biometric systems, access control, enterprise IT solutions, managed services",$4.3M,Babajide Agbaje,Not listed,"Ikeja, Lagos, Nigeria","Government agencies, banks, telecom firms, FMCGs"
81,Imaqliq Service LLC,Telecom Equipment & Smart Solutions,"IPTV/OTT set-top boxes, Wi-Fi6 routers, smart home controllers, radio relay systems",$11M,Dmitry Bazhenov,Not listed,"Saint Petersburg, Russia",Major telecom operators in Russia & CIS
82,Infosys Ltd.,IT Consulting & Digital Transformation,"AI, cloud, cybersecurity, ERP, Finacle banking platform, BPM services",$87B,Salil S. Parekh,Narsimha Rao Mannepalli,"Bengaluru, India","Fortune 500 companies across BFSI, retail, manufacturing, telecom"
83,INGECYS TECHNOLOGIES,Telecom & IT Services,"Network planning, optimization, IoT solutions, AI analytics, managed services",$12M,Hmad Chafiai,Not listed,"Rabat, Morocco","Telecom operators, regulators, smart city projects"
84,"INTEC E&C CO., LTD.",Optical Communication & RF Solutions,"Optical transceivers, RF modules, GNSS relay systems, drone communication modules",$5.8M,Soonmook Lee,Not listed,"Gunpo-si, Gyeonggi-do, South Korea","Data centers, telecom operators, 5G infrastructure providers"
85,ITP.NET (Media Group),Media & Publishing,"Digital media, influencer marketing, events, magazines (Arabian Business, Time Out)",$87.4M,Ali Akawi,Subahar Ramasamy,"Dubai Media City, UAE","Regional businesses, luxury brands, advertisers"
86,Kaer,Cooling-as-a-Service (CaaS),Sustainable cooling systems for commercial & industrial buildings,$350M,Justin Taylor,Not listed,Singapore,"Real estate developers, data centers, malls"
87,KazAeroSpace LLP,Geospatial & Aerospace Tech,"GIS systems, AR/VR/MR solutions, aerospace monitoring, remote sensing",$5M,Baglan Kaziev,Not listed,"Astana, Kazakhstan","Government agencies, defense, infrastructure developers"
88,KingType,Broadcast & Fiber Optic Equipment,"GPON OLT/ONU, CATV systems, Wi-Fi routers, optical amplifiers",$100M,Yongqing Long,Not listed,"Chengdu, Sichuan, China","Huawei, Broadcom, Qualcomm, telecom operators"
89,"KNET Co., Ltd",Telecom Infrastructure Solutions,"Polyethylene pipes, microduct systems, fiber optic deployment solutions",$15M,Seongnam Seo,Not listed,"Seoul, South Korea","Global telecom operators, broadband network projects"
90,KREEMO Inc.,Advanced Antenna & Wireless Solutions,"Transparent antennas, beamforming modules, 5G mmWave solutions",$6.23M,Hong Won-bin,Jun-ho Park,"Seoul, South Korea","Mobile OEMs, defense, satellite communication firms"
91,KTI TRADING LLC,Wholesale & Import Distribution,"Foodservice products, retail food items, mobile accessories, outdoor gear",$10M–$15M,Savvoula Sichlidou,Not listed,"Windsor Locks, Connecticut, USA","Supermarkets, foodservice chains, e-commerce retailers"
92,Lanbowan Communication Ltd,Wireless Communication & Antenna Solutions,"Wi-Fi, LTE, 5G antennas, wireless bridges, IoT connectivity devices",$196K,Not listed,Not listed,"Foshan, Guangdong, China","Telecom operators, ISPs, smart city projects"
93,LIGHTX,Optical Interconnection & High-Speed Networking,"Optical transceivers (1G–800G), cables for AI clusters, data centers",,Jean-Mathieu Gagnon,Not listed,"Shenzhen, China","Data centers, AI infrastructure providers, telecom operators"
94,Limart FZCO,Mobile Security & Smart Card Solutions,"SIM cards (UICC, eSIM), NFC cards, personalization systems, RSP services",<$5M,Not listed,Not listed,"Dubai, UAE","Telecom operators, IoT solution providers, government ID projects"
95,"Linkreal Co., Ltd.",Ethernet & Storage Expansion Solutions,"Network interface cards (NIC), storage adapters, IoT gateways",$10M+,Not listed,Not listed,"Shenzhen, Guangdong, China","Data centers, industrial automation, cloud computing providers"
96,LongXing,Telecom Infrastructure & Cabling Solutions,"Fiber optic systems, ODF/DDF, network cabinets, PDUs, splice closures",$258M,Liang Wei,Not listed,"Shahe, Hebei, China","China Telecom, China Mobile, global telecom operators"
97,Maipu,Networking & Connectivity Solutions,"Routers, switches, wireless devices, SDN applications, unified communications",$35.94M,Hua Xin,Not listed,"Chengdu, Sichuan, China","Government, telecom, banking, energy sectors"
98,Manhattan & Intellinet Network Solutions | IC Intracom,Connectivity & Networking Products,"PoE switches, cables, adapters, network cabinets, AV solutions",$19.8M,Not listed,Not listed,"Oldsmar, Florida, USA","IT distributors, system integrators, OEM partners"
99,Mannapov LLC,Mobile Device Distribution & Reverse Logistics,"Wholesale used cellphones, asset recovery, recycling, data sanitization",$11.2M,Ildar Mannapov,Rafael Nieves,"Boerne, Texas, USA","US mobile carriers, insurance companies, repair stores"
100,MCI (Mobile Communications of Iran),Telecom & Digital Services,"Mobile voice/data, 3G/4G/5G, IoT, fintech, cloud platforms",$750M–$1B,Mehdi Akhavan Behabadi,Pedram Far,"Tehran, Iran","80M+ subscribers, enterprises, government agencies"
101,MIDDLE EAST FIBER CABLE MANUFACTURING CO,Fiber Optic Cable Manufacturing,"Optical fiber cables, FTTH solutions, air-blown cables, accessories",$50M+,Khaled Al-Natour,Not listed,"Riyadh, Saudi Arabia","Saudi Aramco, STC, Mobily, ITC, DEWA, Zain, Qatar Oil & Gas"
102,"Nanjing Jilong Optical Communication Co., Ltd - CN",Optical Fiber Splicing & Test Equipment,"Fusion splicers, OTDR, optical power meters, fiber cleavers",$10M+,Zhao Jian,Not listed,"Nanjing, Jiangsu, China","Telecom operators, research institutes, global fiber installers"
103,NETSCOUT Systems Inc,Network Performance & Cybersecurity Solutions,"nGeniusONE, Arbor DDoS protection, Omnis Cyber Investigator",$1.77B,Anil Singhal,Bruce Kelley Jr.,"Westford, Massachusetts, USA","Enterprises, telecom operators, government agencies"
104,NGT TECHNOLOGY,IT Solutions & Managed Services,"Peplink SD-WAN, 5G routers, BizCentric ERP, cloud services",$969K,Mohamad AlGhabra,Not listed,"Lawrenceville, Georgia, USA (Regional HQ: Dubai, UAE)","SMEs, enterprises, government IT projects"
105,"Ningbo Newboao communication equipment Co.,Ltd",Structured Cabling & Fiber Optic Solutions,"Patch panels, keystone jacks, fiber optic adapters, PDUs",,Xiao Haifeng,Not listed,"Cixi, Ningbo, Zhejiang, China","China Telecom, China Mobile, global OEMs"
106,Nozomi Networks,OT & IoT Cybersecurity,"Guardian, Vantage, Arc endpoint agents, AI-driven threat detection",$1B,Edgard Capdevielle,Moreno Carullo,"San Francisco, California, USA","Energy, manufacturing, transportation, critical infrastructure"
107,Neo Space Group (NSG),Space Technology & Satellite Services,"Satellite communications, geospatial services, PNT, IoT",$1B+,Martijn Blanken,Mark Dickinson,"Riyadh, Saudi Arabia","Government agencies, aerospace firms, global connectivity providers"
108,"NURIFONS CO., LTD.",FTTH & Fiber Optic Solutions,"FTTH closures, fiber optic accessories, structured cabling",$1M–$5M,Jeong Yeon Lee,Not listed,"Daejeon, South Korea","Korea Telecom, SK Telecom, LG U+"
109,Oman Fiber Optic S.A.O.C,Fiber Optic Cable Manufacturing,"Optical fiber cables, telecom solutions, cable laying services",$50M–$100M,Mohammed Al Barashdy,Not listed,"Muscat, Oman","Telecom operators, oil & gas, defense, utilities"
110,ON-LINK,IT Services & Networking Solutions,"Managed IT services, cloud hosting, network integration",$9.6M,Ossama Selim,Not listed,"Cairo, Egypt","SMEs, telecom resellers, enterprise IT projects"
111,OPTOTECH CABLES,Fiber Optic Cable Manufacturing,"Optical fiber cables, telecom accessories, structured cabling systems",$6.9M,Shahid Ismail,Not listed,"Karachi, Pakistan","Etisalat, Afghan Telecom, regional ISPs"
112,OPWAY COMMUNICATION INC.,Optical Communication Solutions,"Optical transceivers (1G–400G), AOC/DAC cables, FTTH solutions",$5.3M,Bill Wu,Ning Ming,"Shenzhen, Guangdong, China","Data centers, telecom operators, cloud providers"
113,PAKISTAN TELECOM CABLES LIMITED,Telecom Cable Manufacturing,"Optical fiber cables, copper telecom cables, HDPE ducts",PKR 29.09B,Not listed,Not listed,"Hub Chowki, Balochistan, Pakistan","Government institutions, telecom operators, private sector"
114,Plan-S Satellite & Space Technologies,Satellite IoT & Earth Observation,"IoT connectivity satellites, Earth observation services, Space-as-a-Service",$400M,Tugay Güzel,Not listed,"Ankara, Türkiye","Energy, agriculture, logistics, disaster management sectors"
115,Planet Technology Corporation,IP Networking & Industrial IoT Solutions,"Ethernet switches, PoE systems, wireless LAN, IP telephony, surveillance",$299M,Ching-Kang Chen,Yi-Shen Shih,"New Taipei City, Taiwan","Enterprises, data centers, smart city projects"
116,Point Mobile & Delta Systems,Rugged Mobile Devices & IoT Solutions,"Enterprise handheld terminals, scanners, RFID readers, accessories",$80B,SK Kang,James Graves,"Seoul, South Korea","Retail, logistics, healthcare, government sectors"
117,"Potel Cable Group Co., Ltd.",Fiber Optic & Structured Cabling Solutions,"Optical fiber cables, copper cables, integrated wiring systems",$200M+,Wang Qiuping,Not listed,"Nanchang, Jiangxi, China","China Telecom, China Mobile, smart city projects"
118,Prayaag Technologies - IN,Fiber Optic Installation Tools & Machinery,"Cable blowing machines, splicing tools, fiber testing gadgets",₹10 lakh,Dayalan Bodi Venugopal,Not listed,"Chennai, Tamil Nadu, India","Telecom contractors, ISPs, infrastructure firms"
119,Premier Cables Private Limited,Telecom Cable Manufacturing,"Optical fiber cables, copper telecom cables, HDPE ducts",₹500 Cr.,Shahid Ismail,Not listed,"Karachi, Pakistan","Etisalat, Afghan Telecom, regional ISPs"
120,PROSE Technologies GmbH,Wireless Communication & Network Solutions,"BTS antennas, ORAN radios, microwave solutions, DAS systems",$155.2M,Heino Cumpanas,Yi-Shen Shih,"Freilassing, Germany","Vodafone, Huawei, Ericsson, global telecom operators"
121,Proximus Global,Digital Communications & CPaaS,"Unified communications, messaging APIs, fraud prevention, identity solutions",$20.4B,Seckin Arikan,Yaunese Aazibou,"Brussels, Belgium","Telecom operators, enterprises, OTT platforms"
